架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U01,A,A-B01,0.0,S006,1313.4852665970077,1.311582547184737
T002,U07,C,C-B01,0.0,S002,2107.812018639006,6.105653653740411
T003,U05,B,B-B01,0.0,S009,1558.4422473947754,2.0962351030690245
T004,U02,A,A-B02,0.0,S002,2003.7375242142848,2.9199596195204114
T005,U03,A,A-B03,0.0,S006,1253.4852665970077,1.2430243502050233
T006,U04,A,A-B04,0.0,S001,1190.9011452642987,1.2195294487896318
T007,U08,C,C-B02,0.0,S012>S001,2410.883446382143,5.4194689799016
T008,U06,B,B-B02,1.0,S001,1150.1015218429495,1.0069778437725982
T009,U06,B,B-B03,1151.0,S001,2300.1015218429493,1.0069778437725982
T010,U04,A,A-B05,1254.0,S001,2564.901145264299,1.2643495220862535
T011,U03,A,A-B06,1344.0,S006>S014,4063.103584831124,3.501017468003353
T012,U01,A,A-B04,2084.0,S014,4074.4045344521683,2.2909653200941213
T013,U05,B,B-B04,2196.0,S013,3706.4702802928864,1.8247538307942253
T014,U07,C,C-B03,2251.0,S007>S003,4944.612146725549,6.39233221398069
T015,U06,B,B-B02,2301.0,S010,3856.3769024465337,1.8231886104372093
T016,U02,A,A-B03,2354.0,S007,4081.4353226737258,1.9053688158910864
T017,U04,A,A-B01,2565.0,S003,4827.65402217778,2.98203927676754
T018,U08,C,C-B04,2867.0,S007>S015,5280.285752513902,4.695928626254479
T019,U05,B,B-B01,3707.0,S001,4856.101521842949,1.2204213199304277
T020,U06,B,B-B03,3857.0,S001,5006.101521842949,1.1029990729847836
T021,U03,A,A-B02,4064.0,S001,5254.901145264299,1.2195294487896318
T022,U01,A,A-B05,4082.0,S011,5304.026919003678,1.1913080471494415
T023,U02,A,A-B03,5133.0,S006,6446.4852665970075,1.3570651342479207
T024,U07,C,C-B01,5200.0,S004,7501.061066593167,6.152957431097095
T025,U04,A,A-B04,5237.0,S001,6427.901145264299,1.2195294487896318
T026,U08,C,C-B02,5292.0,S005,7169.195158195356,4.222219779655824
T027,U05,B,B-B04,5337.0,S008,7298.842307167517,2.9752454570246574
T028,U06,B,B-B02,5367.0,S008,7268.842307167517,2.7634680954456594
T029,U03,A,A-B06,5576.0,S011,6738.026919003678,1.0835337947849788
