架次编号,航段序号,起点,终点,离开时载货质量（kg）,飞行时间（s）,航段能耗（kWh）,抵达时刻（s）
Q001,1,O01,S002,28,590.286966961,1.78938702392,950.286966961
Q001,2,S002,O01,0,596.406966961,1.08076461184,1756.69393392
Q002,1,O01,S001,75,306.270195939,1.91783711478,816.270195939
Q002,2,S001,O01,0,311.900195939,0.96324894332,1560.17039188
Q003,1,O01,S014,25,612.432763976,1.3068782032,1002.43276398
Q003,2,S014,O01,0,627.319430643,0.833499044189,1869.75219462
Q004,1,O01,S006,79,333.42476297,2.21318290943,843.42476297
Q004,2,S006,S007,31,398.321672949,0.991939535857,1565.74643592
Q004,3,S007,O01,0,559.827723918,1.43848655229,2413.57415984
Q006,1,O01,S001,22,338.573905965,0.709038165109,698.573905965
Q006,2,S001,S013,8,317.018611055,0.598762665752,1195.59251702
Q006,3,S013,O01,0,528.522257499,0.885440253349,1904.11477452
Q007,1,O01,S013,20,513.588924166,1.11110971233,903.588924166
Q007,2,S013,S010,3,226.666115538,0.292335785363,1340.2550397
Q007,3,S010,O01,0,549.893032494,0.883469323802,2070.1480722
Q009,1,O01,S002,22,713.808762107,1.6609552954,1073.80876211
Q009,2,S002,O01,0,719.928762107,1.35773455283,2003.73752421
Q018,1,O01,S010,22,534.966365828,1.13873238563,894.966365828
Q018,2,S010,O01,0,549.893032494,0.883469323802,1654.85939832
Q005,1,O01,S001,76,306.270195939,1.95434244788,2436.44058782
Q005,2,S001,S006,11,476.623600101,1.73988849386,3345.06418792
Q005,3,S006,O01,0,352.13476297,0.99395575435,3949.19895089
Q008,1,O01,S012,25,641.297277985,1.66377838821,2787.99121191
Q008,2,S012,O01,0,651.437277985,1.08862048985,3679.42848989
Q013,1,O01,S002,25,590.286966961,1.63265670115,2850.03916158
Q013,2,S002,O01,0,596.406966961,1.08076461184,3686.44612854
Q010,1,O01,S011,70,295.902117618,1.6336825458,3249.47627745
Q010,2,S011,S008,45,506.486746086,2.20829729707,4043.96302354
Q010,3,S008,O01,0,702.016042296,2.51286821175,5105.97906584
Q014,1,O01,S003,25,718.244882471,1.68741753062,4787.67337236
Q014,2,S003,O01,0,732.298215805,1.09255261401,5759.97158817
Q015,1,O01,S015,25,587.58429201,1.42505224181,4664.03042055
Q015,2,S015,O01,0,610.70429201,0.882432374093,5514.73471256
Q011,1,O01,S004,59,707.500533297,3.73423682295,5136.69948419
Q011,2,S004,O01,0,717.560533297,2.41872060815,6250.26001748
Q012,1,O01,S007,70,537.747723918,2.69819049521,6153.72678976
Q012,2,S007,S003,56,243.268850639,1.25850485178,6648.99564039
Q012,3,S003,O01,0,790.595572169,2.29394564176,7799.59121256
Q017,1,O01,S009,20,460.811123697,1.11625471007,6349.7398212
Q017,2,S009,S002,6,191.246023544,0.282593723467,6720.98584474
Q017,3,S002,O01,0,596.406966961,1.08076461184,7497.39281171
Q016,1,O01,S005,70,497.232579098,3.0104218107,7287.49259658
Q016,2,S005,S009,11,310.868581241,0.88999006374,7994.36117782
Q016,3,S009,O01,0,488.399275756,1.77215774651,8734.76045358
