架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q001,U05,B,B-B01,0,S002,1756.69393392,2.87015163576
Q002,U07,C,C-B01,0,S001,1560.17039188,2.8810860581
Q003,U06,B,B-B02,0,S014,1869.75219462,2.14037724739
Q004,U08,C,C-B02,0,S006>S007,2413.57415984,4.64360899758
Q006,U01,A,A-B01,0,S001>S013,1904.11477452,2.19324108421
Q007,U02,A,A-B02,0,S013>S010,2070.1480722,2.28691482149
Q009,U03,A,A-B03,0,S002,2003.73752421,3.01868984823
Q018,U04,A,A-B04,0,S010,1654.85939832,2.02220170943
Q005,U07,C,C-B03,1560.17039188,S001>S006,3949.19895089,4.68818669609
Q008,U05,B,B-B03,1756.69393392,S012,3679.42848989,2.75239887807
Q013,U06,B,B-B04,1869.75219462,S002,3686.44612854,2.71342131299
Q010,U08,C,C-B04,2413.57415984,S011>S008,5105.97906584,6.35484805462
Q014,U05,B,B-B01,3679.42848989,S003,5759.97158817,2.77997014462
Q015,U06,B,B-B02,3686.44612854,S015,5514.73471256,2.3074846159
Q011,U07,C,C-B01,3949.19895089,S004,6250.26001748,6.1529574311
Q012,U08,C,C-B02,5105.97906584,S007>S003,7799.59121256,6.25064098875
Q017,U06,B,B-B04,5528.9286975,S009>S002,7497.39281171,2.47961304538
Q016,U07,C,C-B03,6250.26001748,S005>S009,8734.76045358,5.67256962095
