from_id,to_id,distance_m,start_alt_m,end_alt_m,max_dsm_m,cruise_alt_m,climb_m,descent_m,pixels_traversed,valid_flag,invalid_reason
O01,S001,3053.98870264048,127.7,184,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,136,True,
O01,S002,7411.30770876227,127.7,219.5,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,323,True,
O01,S003,7263.32771705105,127.7,338.5,511.804138183594,561.804138183594,434.104138183594,223.304138183594,338,True,
O01,S004,7714.72925494191,127.7,228.3,348.239166259766,398.239166259766,270.539166259766,169.939166259766,276,True,
O01,S005,5280.64168939486,127.7,195,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,True,
O01,S006,3186.25061325392,127.7,314.8,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,116,True,
O01,S007,4534.52799561267,127.7,348.5,461.973175048828,511.973175048828,384.273175048828,163.473175048828,213,True,
O01,S008,8079.11464872708,127.7,270.9,322.909332275391,372.909332275391,245.209332275391,102.009332275391,321,True,
O01,S009,5705.14881957214,127.7,230,243.228912353516,293.228912353516,165.528912353516,63.2289123535156,253,True,
O01,S010,4784.47487625916,127.7,351.6,385.636535644531,435.636535644531,307.936535644531,84.0365356445312,203,True,
O01,S011,2808.09806675644,127.7,212.1,245.361755371094,295.361755371094,167.661755371094,83.2617553710938,123,True,
O01,S012,7390.44822616944,127.7,279.8,363.300994873047,413.300994873047,285.600994873047,133.500994873047,354,True,
O01,S013,4849.22704116149,127.7,351.7,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,228,True,
O01,S014,5419.57019499426,127.7,351,541.947387695312,591.947387695312,464.247387695313,240.947387695312,203,True,
O01,S015,6009.47257107525,127.7,474.5,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,286,True,
S001,O01,3053.98870264048,184,127.7,223.056610107422,273.056610107422,89.0566101074219,145.356610107422,136,True,
S001,S002,4360.58329616259,184,219.5,259.244842529297,309.244842529297,125.244842529297,89.7448425292969,188,True,
S001,S003,7658.87707335706,184,338.5,505.944396972656,555.944396972656,371.944396972656,217.444396972656,293,True,
S001,S004,4927.68507709307,184,228.3,358.777740478516,408.777740478516,224.777740478516,180.477740478516,179,True,
S001,S005,2928.05101441646,184,195,266.138000488281,316.138000488281,132.138000488281,121.138000488281,136,True,
S001,S006,5296.22288274247,184,314.8,343.935638427734,393.935638427734,209.935638427734,79.1356384277344,251,True,
S001,S007,5187.94516324298,184,348.5,389.175354003906,439.175354003906,255.175354003906,90.6753540039062,198,True,
S001,S008,5968.25120581759,184,270.9,316.787170410156,366.787170410156,182.787170410156,95.8871704101563,276,True,
S001,S009,2651.19288249304,184,230,243.228912353516,293.228912353516,109.228912353516,63.2289123535156,118,True,
S001,S010,3709.86798276388,184,351.6,381.079681396484,431.079681396484,247.079681396484,79.4796813964844,170,True,
S001,S011,2354.10557325682,184,212.1,226.387908935547,276.387908935547,92.3879089355469,64.2879089355469,90,True,
S001,S012,4697.6423731234,184,279.8,385.599609375,435.599609375,251.599609375,155.799609375,219,True,
S001,S013,2898.80821059566,184,351.7,328.360809326172,378.360809326172,194.360809326172,26.6608093261719,111,True,
S001,S014,5196.16576897502,184,351,550.050415039062,600.050415039062,416.050415039062,249.050415039062,248,True,
S001,S015,5500.14505131224,184,474.5,547.315185546875,597.315185546875,413.315185546875,122.815185546875,241,True,
S002,O01,7411.30770876227,219.5,127.7,258.954254150391,308.954254150391,89.4542541503906,181.254254150391,323,True,
S002,S001,4360.58329616259,219.5,184,259.244842529297,309.244842529297,89.7448425292969,125.244842529297,188,True,
S002,S003,9776.14244975452,219.5,338.5,571.131408691406,621.131408691406,401.631408691406,282.631408691406,432,True,
S002,S004,2248.01264513804,219.5,228.3,283.658203125,333.658203125,114.158203125,105.358203125,102,True,
S002,S005,3475.74722212559,219.5,195,356.798645019531,406.798645019531,187.298645019531,211.798645019531,161,True,
S002,S006,9184.93169340804,219.5,314.8,344.298706054688,394.298706054688,174.798706054688,79.4987060546875,438,True,
S002,S007,8118.34933184236,219.5,348.5,424.728179931641,474.728179931641,255.228179931641,126.228179931641,385,True,
S002,S008,4802.37875334977,219.5,270.9,331.842498779297,381.842498779297,162.342498779297,110.942498779297,199,True,
S002,S009,1724.53718543116,219.5,230,278.286651611328,328.286651611328,108.786651611328,98.2866516113281,71,True,
S002,S010,5916.97327194381,219.5,351.6,441.853942871094,491.853942871094,272.353942871094,140.253942871094,247,True,
S002,S011,5781.6853036693,219.5,212.1,311.785339355469,361.785339355469,142.285339355469,149.685339355469,277,True,
S002,S012,3071.23767149182,219.5,279.8,358.178253173828,408.178253173828,188.678253173828,128.378253173828,146,True,
S002,S013,4540.08917633012,219.5,351.7,327.210327148438,377.210327148438,157.710327148438,25.5103271484375,188,True,
S002,S014,7654.53669485816,219.5,351,457.583221435547,507.583221435547,288.083221435547,156.583221435547,325,True,
S002,S015,7164.44995119001,219.5,474.5,593.752624511719,643.752624511719,424.252624511719,169.252624511719,314,True,
S003,O01,7263.32771705105,338.5,127.7,511.804138183594,561.804138183594,223.304138183594,434.104138183594,338,True,
S003,S001,7658.87707335706,338.5,184,505.944396972656,555.944396972656,217.444396972656,371.944396972656,293,True,
S003,S002,9776.14244975452,338.5,219.5,571.131408691406,621.131408691406,282.631408691406,401.631408691406,432,True,
S003,S004,8232.13084048841,338.5,228.3,674.268249511719,724.268249511719,385.768249511719,495.968249511719,385,True,
S003,S005,6340.37988820146,338.5,195,533.888061523438,583.888061523438,245.388061523438,388.888061523438,272,True,
S003,S006,4801.07775325516,338.5,314.8,612.362670898438,662.362670898438,323.862670898438,347.562670898437,229,True,
S003,S007,2734.34165850759,338.5,348.5,360.699340820312,410.699340820312,72.1993408203125,62.1993408203125,126,True,
S003,S008,6254.22138447441,338.5,270.9,746.078735351562,796.078735351562,457.578735351562,525.178735351563,300,True,
S003,S009,8897.67009891496,338.5,230,544.588134765625,594.588134765625,256.088134765625,364.588134765625,362,True,
S003,S010,11224.4538269618,338.5,351.6,466.964172363281,516.964172363281,178.464172363281,165.364172363281,462,True,
S003,S011,5356.74031130777,338.5,212.1,485.422302246094,535.422302246094,196.922302246094,323.322302246094,216,True,
S003,S012,11817.0602160385,338.5,279.8,544.588928222656,594.588928222656,256.088928222656,314.788928222656,463,True,
S003,S013,10557.6836408474,338.5,351.7,505.944396972656,555.944396972656,217.444396972656,204.244396972656,403,True,
S003,S014,12385.8175980786,338.5,351,542.729553222656,592.729553222656,254.229553222656,241.729553222656,540,True,
S003,S015,2616.44359044995,338.5,474.5,437.898864746094,487.898864746094,149.398864746094,13.3988647460938,119,True,
S004,O01,7714.72925494191,228.3,127.7,348.239166259766,398.239166259766,169.939166259766,270.539166259766,276,True,
S004,S001,4927.68507709307,228.3,184,358.777740478516,408.777740478516,180.477740478516,224.777740478516,179,True,
S004,S002,2248.01264513804,228.3,219.5,283.658203125,333.658203125,105.358203125,114.158203125,102,True,
S004,S003,8232.13084048841,228.3,338.5,674.268249511719,724.268249511719,495.968249511719,385.768249511719,385,True,
S004,S005,2608.15379372159,228.3,195,315.806579589844,365.806579589844,137.506579589844,170.806579589844,114,True,
S004,S006,8706.05372154772,228.3,314.8,375.280639648438,425.280639648438,196.980639648437,110.480639648437,391,True,
S004,S007,7096.51064765071,228.3,348.5,543.236999511719,593.236999511719,364.936999511719,244.736999511719,338,True,
S004,S008,2611.61775997473,228.3,270.9,336.83349609375,386.83349609375,158.53349609375,115.93349609375,98,True,
S004,S009,2985.0854623431,228.3,230,275.215789794922,325.215789794922,96.9157897949219,95.2157897949219,140,True,
S004,S010,7545.15915761753,228.3,351.6,432.957275390625,482.957275390625,254.657275390625,131.357275390625,348,True,
S004,S011,5403.77019491762,228.3,212.1,311.138916015625,361.138916015625,132.838916015625,149.038916015625,230,True,
S004,S012,5285.08636245614,228.3,279.8,312.006958007812,362.006958007812,133.706958007812,82.2069580078125,247,True,
S004,S013,6196.19394910056,228.3,351.7,322.298980712891,372.298980712891,143.998980712891,20.5989807128906,289,True,
S004,S014,9293.70815945927,228.3,351,505.386108398438,555.386108398438,327.086108398437,204.386108398438,426,True,
S004,S015,5648.35352327031,228.3,474.5,641.251037597656,691.251037597656,462.951037597656,216.751037597656,267,True,
S005,O01,5280.64168939486,195,127.7,276.410888671875,326.410888671875,131.410888671875,198.710888671875,181,True,
S005,S001,2928.05101441646,195,184,266.138000488281,316.138000488281,121.138000488281,132.138000488281,136,True,
S005,S002,3475.74722212559,195,219.5,356.798645019531,406.798645019531,211.798645019531,187.298645019531,161,True,
S005,S003,6340.37988820146,195,338.5,533.888061523438,583.888061523438,388.888061523438,245.388061523438,272,True,
S005,S004,2608.15379372159,195,228.3,315.806579589844,365.806579589844,170.806579589844,137.506579589844,114,True,
S005,S006,6107.20202157401,195,314.8,366.732299804688,416.732299804688,221.732299804688,101.932299804687,278,True,
S005,S007,4688.04101764704,195,348.5,467.147827148438,517.147827148438,322.147827148438,168.647827148438,225,True,
S005,S008,3040.20246470554,195,270.9,316.787170410156,366.787170410156,171.787170410156,95.8871704101563,141,True,
S005,S009,2649.92549290154,195,230,313.563201904297,363.563201904297,168.563201904297,133.563201904297,97,True,
S005,S010,6361.33330116382,195,351.6,416.153259277344,466.153259277344,271.153259277344,114.553259277344,305,True,
S005,S011,2802.73783347861,195,212.1,297.548919677734,347.548919677734,152.548919677734,135.448919677734,117,True,
S005,S012,5622.58267547856,195,279.8,313.563201904297,363.563201904297,168.563201904297,83.7632019042969,204,True,
S005,S013,5214.47676982713,195,351.7,324.444458007812,374.444458007812,179.444458007812,22.7444580078125,246,True,
S005,S014,7995.51796672921,195,351,552.887512207031,602.887512207031,407.887512207031,251.887512207031,383,True,
S005,S015,3754.97983113444,195,474.5,568.613342285156,618.613342285156,423.613342285156,144.113342285156,154,True,
S006,O01,3186.25061325392,314.8,127.7,316.097839355469,366.097839355469,51.2978393554687,238.397839355469,116,True,
