sortie_id,stage,start_s,end_s,mode,relay_id,comm_row_index,status,method,margin_db,worst_distance_m,pessimistic_obstructed,witness_s,reason
T001,爬升,359.99999999999994,378.6290839301215,直连,,1,PASS,worst_obstruction_endpoint_distance,40.84697113032533,35.88725179036473,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,378.6290839301215,397.258167860243,直连,,2,PASS,worst_obstruction_endpoint_distance,32.69133428513665,91.77450358072929,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,397.258167860243,415.8872517903646,直连,,3,PASS,worst_obstruction_endpoint_distance,28.560414627442924,147.661755371094,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,415.8872517903646,435.38793280950654,直连,,4,PASS,worst_obstruction_endpoint_distance,23.105539305522555,276.70167811112736,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,435.38793280950654,454.8886138286485,直连,,5,PASS,worst_obstruction_endpoint_distance,18.12842960559327,490.7578758212867,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,454.8886138286485,474.38929484779044,直连,,6,PASS,worst_obstruction_endpoint_distance,14.83071939347792,717.3858209025456,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,474.38929484779044,493.8899758669324,直连,,7,PASS,worst_obstruction_endpoint_distance,12.413199503853406,947.608140912613,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,493.8899758669324,513.3906568860743,直连,,8,PASS,worst_obstruction_endpoint_distance,10.513129561117665,1179.3216739957807,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,513.3906568860743,532.8913379052162,直连,,9,PASS,worst_obstruction_endpoint_distance,8.950358587344866,1411.7923650909095,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,532.8913379052162,552.3920189243582,直连,,10,PASS,worst_obstruction_endpoint_distance,7.624045631567327,1644.699183085985,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,552.3920189243582,571.8926999435001,直连,,11,PASS,worst_obstruction_endpoint_distance,6.472419076072541,1877.8798611459722,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,571.8926999435001,591.3933809626421,直连,,12,PASS,worst_obstruction_endpoint_distance,5.4550079972161996,2111.243660095177,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,591.3933809626421,610.894061981784,直连,,13,PASS,worst_obstruction_endpoint_distance,4.543896491300529,2344.7359043246097,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,610.894061981784,630.3947430009259,直连,,14,PASS,worst_obstruction_endpoint_distance,3.7190330961793165,2578.321698140954,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,630.3947430009259,649.8954240200679,直连,,15,PASS,worst_obstruction_endpoint_distance,2.9655376322348275,2811.977728667235,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,下降,649.8954240200679,666.5477750942866,直连,,16,PASS,worst_obstruction_endpoint_distance,2.9655376322348275,2811.977728667235,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,下降,666.5477750942866,683.2001261685054,直连,,17,PASS,worst_obstruction_endpoint_distance,2.9713422573941983,2810.099161870278,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,投送,683.2001261685054,702.2910352594146,直连,,18,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,702.2910352594146,721.3819443503236,直连,,19,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,721.3819443503236,740.4728534412327,直连,,20,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,740.4728534412327,759.5637625321418,直连,,21,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,759.5637625321418,778.654671623051,直连,,22,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,778.654671623051,797.74558071396,直连,,23,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,797.74558071396,816.8364898048691,直连,,24,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,816.8364898048691,835.9273988957782,直连,,25,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,835.9273988957782,855.0183079866872,直连,,26,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,855.0183079866872,874.1092170775963,直连,,27,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,874.1092170775963,893.2001261685054,直连,,28,PASS,exact_point,2.9752461696598544,2808.8364339208633,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,爬升,893.2001261685054,907.0770853970212,直连,,29,PASS,worst_obstruction_endpoint_distance,2.9713422573941983,2810.099161870278,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,907.0770853970212,920.9540446255368,直连,,30,PASS,worst_obstruction_endpoint_distance,2.9655376322348275,2811.977728667235,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,920.9540446255368,940.4547256446787,直连,,31,PASS,worst_obstruction_endpoint_distance,2.9655376322348275,2811.977728667235,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,940.4547256446787,959.9554066638207,直连,,32,PASS,worst_obstruction_endpoint_distance,3.7190330961792313,2578.3216981409755,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,959.9554066638207,979.4560876829626,直连,,33,PASS,worst_obstruction_endpoint_distance,4.543896491302121,2344.735904324178,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
