mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R02,R-E02,55.577675532,677.000000000,1428.000000000,1851.681682937,2151.681682937,2549.722889016,0.847660611
R002,R01,R-E01,55.595297664,695.000000000,1493.000000000,1942.598767176,2242.598767176,2649.443450013,0.840888706
R003,R02,R-E03,2152.123774678,2772.000000000,3470.000000000,3918.371630901,4218.371630901,4601.833621131,0.858875392
R004,R01,R-E04,2243.164791330,2918.000000000,5235.000000000,5728.727665742,6028.727665742,6629.488299177,0.691722590
R005,R02,R-E05,4219.371599213,4741.000000000,5370.000000000,5703.655923573,6003.655923573,6358.589740190,0.880820141
R006,R02,R-E06,6004.601231418,6557.000000000,7521.000000000,7875.613783739,8175.613783739,8582.464731460,0.840883886
R007,R01,R-E02,6029.790404553,6759.000000000,7442.000000000,7990.272922982,8290.272922982,8703.506274556,0.835974345
R008,R02,R-E01,8176.164791330,8851.000000000,9914.000000000,10407.727665742,10707.727665742,11152.826840844,0.811462173
R009,R01,R-E03,8550.350839677,9105.000000000,16773.000000000,17131.095206262,17431.095206262,18671.050107064,0.200034692
R010,R02,R-E05,10708.790404553,11438.000000000,16635.000000000,17183.272922982,17483.272922982,18456.837871778,0.404950039
R011,R01,R-E04,17432.595297664,18072.000000000,18824.000000000,19273.598767176,19573.598767176,19974.733380568,0.845281067
R012,R02,R-E06,17484.123774678,18104.000000000,21600.000000000,22048.371630901,22348.371630901,23079.154801686,0.591705253
R013,R01,R-E02,19574.577675532,20196.000000000,21600.000000000,22023.681682937,22323.681682937,22802.781048738,0.785308180
