架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q001,U05,B,B-B01,0,S002,1756.69393392,2.87015163576
Q002,U07,C,C-B01,0,S001,1560.17039188,2.58901818185
Q003,U08,C,C-B02,0,S001,1560.17039188,2.8810860581
Q004,U06,B,B-B02,0,S002,1816.69393392,2.71342131299
Q009,U01,A,A-B01,0,S001>S013,1904.11477452,2.19324108421
Q010,U02,A,A-B02,0,S013>S010,2070.1480722,2.28691482149
Q012,U03,A,A-B03,0,S002,2003.73752421,3.01868984823
Q019,U04,A,A-B04,0,S010,1654.85939832,2.02220170943
Q005,U07,C,C-B03,1560.17039188,S006,3121.72991782,2.59802073597
Q006,U08,C,C-B04,1560.17039188,S007,3467.74583972,3.41094197301
Q008,U05,B,B-B03,1756.69393392,S014,3626.44612854,2.14037724739
Q011,U06,B,B-B04,1816.69393392,S012,3739.42848989,2.75239887807
Q007,U07,C,C-B01,3121.72991782,S003,5491.84106216,5.76507751642
Q013,U08,C,C-B02,3467.74583972,S011>S008,6160.15074572,6.35484805462
Q015,U05,B,B-B02,3659.17650288,S003,5739.71960116,2.77997014462
Q016,U06,B,B-B01,3739.42848989,S015,5567.71707391,2.3074846159
Q014,U07,C,C-B03,5491.84106216,S004,7792.90212875,6.1529574311
Q018,U06,B,B-B03,5567.71707391,S009>S002,7536.18118812,2.47961304538
Q017,U08,C,C-B04,6160.15074572,S005>S009,8644.65118181,5.67256962095
