sortie_id,stage,start_s,end_s,mode,relay_id,comm_row_index,status,method,margin_db,worst_distance_m,pessimistic_obstructed,witness_s,reason
Q001,爬升,360.0,420.418084716797,直连,,1,PASS,worst_obstruction_endpoint_distance,27.79555154865507,161.25425415039103,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q001,巡航,420.418084716797,677.3434186205557,直连,,2,PASS,worst_obstruction_endpoint_distance,0.2202145974620322,3857.2521378350943,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q001,巡航,677.3434186205557,914.5052653009484,中继,R001,3,UNVERIFIED,insufficient_interval_bound,-8.895934866110679,5521.861400584317,True,,最坏遮挡界不能证明整段；有限点通过不等于连续通过
Q001,下降,914.5052653009484,932.3961161310265,中继,R001,4,FAIL,exact_point_counterexample,-8.895934453266023,5521.861400584317,True,932.3961161310265,区间内存在精确计算出的失联时刻
Q001,爬升,1175.196009319503,1190.1050516779014,中继,R001,8,FAIL,exact_point_counterexample,-8.895934453266023,5521.861400584317,True,1175.196009319503,区间内存在精确计算出的失联时刻
Q001,巡航,1190.1050516779014,1427.2668983582942,中继,R001,9,UNVERIFIED,insufficient_interval_bound,-8.895934866110679,5521.861400584317,True,,最坏遮挡界不能证明整段；有限点通过不等于连续通过
Q001,巡航,1427.2668983582942,1684.1922322620528,直连,,10,PASS,worst_obstruction_endpoint_distance,0.2202145974620322,3857.2521378350943,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q001,下降,1684.1922322620528,1756.693933922209,直连,,11,PASS,worst_obstruction_endpoint_distance,27.79555154865507,161.25425415039103,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q002,爬升,510.0,568.1426440429688,直连,,12,PASS,worst_obstruction_endpoint_distance,29.982830377148545,125.356610107422,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q002,巡航,568.1426440429688,771.7418908856674,直连,,13,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q002,下降,771.7418908856674,816.2701959393784,直连,,14,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q002,投送,816.2701959393784,1248.2701959393785,直连,,15,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
Q002,爬升,1248.2701959393785,1283.8928399823471,直连,,16,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q002,巡航,1283.8928399823471,1487.4920868250458,直连,,17,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
Q002,下降,1487.4920868250458,1560.1703918787568,直连,,18,PASS,worst_obstruction_endpoint_distance,29.982830377148545,125.356610107422,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
