架次编号,航段序号,起点,终点,离开时载货质量（kg）,飞行时间（s）,航段能耗（kWh）,抵达时刻（s）
Q001,1,O01,S001,20,338.573905965,0.691037738419,728.573905965
Q001,2,S001,O01,0,342.327239299,0.573311783667,1310.90114526
Q002,1,O01,S002,17,713.808762107,1.56222506669,1073.80876211
Q002,2,S002,O01,0,719.928762107,1.35773455283,2003.73752421
Q003,1,O01,S006,17,365.505966632,0.72446707172,725.505966632
Q003,2,S006,O01,0,377.979299965,0.587115475465,1313.4852666
Q004,1,O01,S007,17,571.357661337,1.0458447376,931.357661337
Q004,2,S007,O01,0,586.077661337,0.859524078294,1727.43532267
Q016,1,O01,S001,66,306.270195939,1.65008133159,786.270195939
Q016,2,S001,O01,0,311.900195939,0.96324894332,1494.17039188
Q017,1,O01,S001,68,306.270195939,1.70154247945,786.270195939
Q017,2,S001,O01,0,311.900195939,0.96324894332,1494.17039188
Q021,1,O01,S004,28,672.470672253,1.89145968629,1032.47067225
Q021,2,S004,O01,0,679.17733892,1.14391039431,1921.64801117
Q022,1,O01,S009,16,460.811123697,1.02907371571,820.811123697
Q022,2,S009,S012,8,274.265603664,0.487472384261,1275.07672736
Q022,3,S012,O01,0,651.437277985,1.08862048985,2106.51400535
Q005,1,O01,S010,17,534.966365828,1.07138268952,2205.86751109
Q005,2,S010,O01,0,549.893032494,0.883469323802,2965.76054359
Q006,1,O01,S012,17,764.471415088,1.59235442439,2437.95668168
Q006,2,S012,O01,0,774.611415088,1.36564917345,3422.56809677
Q018,1,O01,S002,64,611.31600932,3.80158597252,2585.4864012
Q018,2,S002,O01,0,620.49600932,2.30406768123,3601.98241052
Q019,1,O01,S006,78,333.42476297,2.16911134492,2367.59515485
Q019,2,S006,S007,36,398.321672949,1.03173390439,3089.9168278
Q019,3,S007,S015,8,223.937194023,0.740252654281,3601.85402182
Q019,4,S015,O01,0,661.600834572,1.87480920412,4479.45485639
Q023,1,O01,S010,16,455.22511789,0.914851797154,2736.87312906
Q023,2,S010,S014,8,253.490820497,0.317538680912,3170.36394956
Q023,3,S014,O01,0,627.319430643,0.833499044189,3977.6833802
Q025,1,O01,S013,8,432.76847348,0.811200917686,2869.28247883
Q025,2,S013,O01,0,447.701806813,0.704427578539,3496.98428564
Q007,1,O01,S013,17,513.588924166,1.07250684991,3049.74659803
Q007,2,S013,O01,0,528.522257499,0.885440253349,3788.26885553
Q008,1,O01,S014,17,702.758933893,1.25160835971,3255.14582523
Q008,2,S014,O01,0,717.645600559,1.03935696038,4182.79142579
Q009,1,O01,S003,17,839.300344422,1.61548019831,4165.06088801
Q009,2,S003,O01,0,853.353677756,1.36655907846,5228.41456576
Q010,1,O01,S004,17,801.049493169,1.65313863679,4583.61758994
Q010,2,S004,O01,0,807.756159836,1.43367334362,5601.37374978
Q020,1,O01,S003,64,769.515572169,3.85565239408,4851.49798269
Q020,2,S003,O01,0,790.595572169,2.29394564176,6038.09355486
Q011,1,O01,S008,17,795.799731063,1.71867251712,5186.29530072
Q011,2,S008,O01,0,805.346397729,1.48126602584,6201.64169845
Q024,1,O01,S011,36,295.902117618,1.09893236528,5195.35697401
Q024,2,S011,S008,28,506.486746086,1.91926277221,5917.8437201
Q024,3,S008,O01,0,702.016042296,2.51286821175,6907.85976239
Q012,1,O01,S015,17,687.742168195,1.36456896953,5824.84463768
Q012,2,S015,O01,0,710.862168195,1.10748260857,6745.70680587
Q013,1,O01,S005,17,558.854792476,1.13600904251,6147.26935824
Q013,2,S005,O01,0,563.341459142,0.985330263833,6920.61081738
Q014,1,O01,S009,17,555.896937357,1.21114631782,6517.27068713
Q014,2,S009,O01,0,562.716937357,1.0436780584,7289.98762449
Q026,1,O01,S005,56,497.232579098,2.46790959522,7066.16285417
Q026,2,S005,S004,14,310.952841212,0.889679211842,7701.11569538
Q026,3,S004,O01,0,717.560533297,2.41872060815,8670.67622868
Q015,1,O01,S011,17,323.200126169,0.624510380792,7273.09270522
Q015,2,S011,O01,0,328.826792835,0.527516235123,7811.91949806
