前驱,后继,约束,可用后等待秒,后继开始秒
T001,T011,uav_id,284.306066077791,2041.0
T011,T016,uav_id,55.24780538097366,3846.0
T016,T020,uav_id,209.71141597902897,5884.0
T020,T024,uav_id,399.157692832483,8245.0
T002,T012,uav_id,833.9730809963223,2056.0
T004,T008,uav_id,632.0988547357013,1944.0
T005,T013,uav_id,609.2654440302724,2534.0
T013,T021,uav_id,1803.7156105133636,5914.0
T006,T009,uav_id,34.829608121243155,2027.0
T009,T017,uav_id,220.36911179695744,3859.0
T017,T018,uav_id,0.42455216375310556,5635.0
T018,T022,uav_id,22.83208667604049,7897.0
T007,T010,uav_id,0.8296081212431545,2030.0
T010,T015,uav_id,2.294252338622755,3635.0
T015,T019,uav_id,573.4404740596328,5638.0
T019,T023,uav_id,170.9389334068328,8110.0
T001,T021,battery_id,2436.4977220744495,5914.0
T002,T012,battery_id,1.1653919540349307,2056.0
T005,T016,battery_id,61.892596867935936,3846.0
T016,T024,battery_id,904.1347490879816,8245.0
T006,T017,battery_id,222.13957192139196,3859.0
T017,T022,battery_id,575.6433283577917,7897.0
T007,T015,battery_id,121.13299931822985,3635.0
T015,T023,battery_id,1581.649236881667,8110.0
T009,T018,battery_id,283.0618573214788,5635.0
T010,T019,battery_id,318.8964356313263,5638.0
T013,T020,battery_id,413.7271768187893,5884.0
R001,R003,uav_id,0.44209174099978554,2152.123774678
R003,R005,uav_id,1.31786684600047,4184.689497747
R005,R007,uav_id,1.354621538000174,5804.790404553
R007,R009,uav_id,1.3047525500005577,8297.577675532
R002,R004,uav_id,287.56602415399993,2592.16479133
R004,R006,uav_id,1.0902019169998312,6005.817867659
R006,R008,uav_id,0.7692269310000484,8127.16479133
R001,R006,energy_unit_id,3456.0949786429996,6005.817867659
R002,R008,energy_unit_id,5413.983494095,8127.16479133
R003,R009,energy_unit_id,3735.088672457,8297.577675532
