batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
Q001,B,U05,B-B01,S002,S002-WAT-01;S002-WAT-02,0,360,1756.69393392,1756.69393392,3667.09297608,1910.39904216,28,0.054,2.87015163576,0.28246209106
Q002,B,U06,B-B02,S014,S014-WAT-01;S014-MED-01;S014-FOD-01,0,390,1869.75219462,1869.75219462,3463.91566849,1594.16347387,25,0.067,2.14037724739,0.464905688154
Q003,C,U07,C-B01,S001>S006,S001-WAT-02;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-HYG-01;S006-MED-01;S006-WAT-01;S006-HYG-01,0,540,2323.02855901,2323.02855901,4488.68467521,2165.6561162,79,0.218,4.91934565981,0.385081792524
Q004,C,U08,C-B02,S006>S007,S006-WAT-02;S006-WAT-03;S006-FOD-01;S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01,0,510,2413.57415984,2413.57415984,4477.90095336,2064.32679352,75,0.176,4.54520662223,0.431849172221
Q005,A,U01,A-B01,S010,S010-MED-01;S010-WAT-01,0,360,1654.85939832,1654.85939832,2719.59442439,1064.73502607,17,0.039,1.95485201332,0.565588441484
Q006,A,U02,A-B02,S002,S002-WAT-03;S002-FOD-02,0,360,2003.73752421,2003.73752421,3375.80348037,1372.06595615,22,0.055,3.01868984823,0.329180033728
Q008,A,U03,A-B03,S003,S003-WAT-03;S003-FOD-02,0,360,2262.65402218,2262.65402218,3653.48667739,1390.83265521,22,0.055,3.08365149882,0.314744111374
Q009,A,U04,A-B04,S001,S001-WAT-06;S001-FOD-03,0,360,1250.90114526,1250.90114526,2121.35779713,870.456651869,22,0.055,1.28234994878,0.715033344717
Q010,A,U04,A-B05,S012,S012-WAT-01;S012-MED-01,1250.90114526,1610.90114526,3359.98397544,3359.98397544,4714.51834815,1354.53437271,17,0.039,2.95800359784,0.342665867148
Q011,A,U01,A-B06,S001,S001-MED-01;S001-WAT-05,1654.85939832,2014.85939832,2905.76054359,2905.76054359,3764.07774156,858.317197973,17,0.039,1.24032876221,0.724371386175
Q007,B,U05,B-B03,S009>S002,S009-FOD-01;S002-MED-01;S002-WAT-04,1756.69393392,2146.69393392,3785.15804812,3785.15804812,5612.46649491,1827.30844679,25,0.067,2.67840410797,0.330398973008
Q013,B,U06,B-B04,S013,S013-MED-01;S013-WAT-01;S013-FOD-01,1869.75219462,2259.75219462,3380.22247491,3380.22247491,4837.61580159,1457.39332668,25,0.067,1.82475383079,0.543811542301
Q012,C,U07,C-B03,S001>S012>S010,S001-MED-02;S001-WAT-01;S001-WAT-03;S001-WAT-04;S001-FOD-01;S001-HYG-02;S012-FOD-01;S010-FOD-01,2323.02855901,2863.02855901,5397.10977523,5397.10977523,7938.4066643,2541.29688906,75,0.212,6.306326975,0.211709128125
Q014,C,U08,C-B04,S011>S008,S011-MED-01;S011-WAT-01;S011-FOD-01;S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,2413.57415984,2953.57415984,5105.97906584,5105.97906584,7660.41708063,2554.43801479,70,0.196,6.35484805462,0.205643993173
Q016,B,U06,B-B02,S005,S005-WAT-03;S005-HYG-01,3463.91566849,3823.91566849,4980.09053046,4980.09053046,6441.72413153,1461.63360107,20,0.062,1.8345390794,0.54136523015
Q017,B,U05,B-B01,S002,S002-FOD-01;S002-HYG-01,3785.15804812,4145.15804812,5541.85198205,5541.85198205,7231.73197667,1689.87999462,14,0.063,2.36126152605,0.409684618487
Q019,B,U06,B-B04,S015,S015-MED-01;S015-WAT-01;S015-FOD-01,4980.09053046,5370.09053046,6808.37911448,6808.37911448,8474.95578137,1666.57666689,25,0.067,2.3074846159,0.423128846024
Q015,C,U08,C-B01,S007>S003,S007-HYG-01;S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-04;S003-FOD-01;S003-HYG-01,5105.97906584,5615.97906584,7799.59121256,7799.59121256,10285.2701706,2485.67895804,65,0.191,6.10096846045,0.237378942443
Q018,C,U07,C-B02,S004>S005,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01;S005-MED-01,5397.10977523,5907.10977523,8044.85572884,8044.85572884,10608.9391252,2564.08339636,62,0.168,6.39046177118,0.201192278603
Q020,B,U05,B-B03,S009>S005,S009-MED-01;S009-WAT-01;S005-FOD-01,5612.46649491,6002.46649491,7617.21643052,7617.21643052,9363.5631809,1746.34675039,25,0.067,2.49156942397,0.377107644007
Q021,B,U06,B-B02,S005,S005-WAT-01;S005-WAT-02,6808.37911448,7168.37911448,8324.55397645,8324.55397645,9895.21881388,1570.66483743,28,0.054,2.08614962484,0.47846259379
