架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S002,1756.693933922209,2.432634640007711
T002,U01,A,A-B01,0.0,S009,1688.6138747138468,2.2548243762219577
T003,U03,A,A-B03,0.0,S011,1222.0269190036777,1.1520266159156107
T004,U02,A,A-B02,0.0,S011,1162.0269190036777,1.101455956204989
T005,U04,A,A-B04,0.0,S006,1313.4852665970077,1.311582547184737
T006,U06,B,B-B02,349.0,S012,2211.734555969728,2.4692276591027387
T007,U07,C,C-B01,485.0,S001,1979.1703918787568,2.99577859519945
T008,U08,C,C-B02,600.0,S006,2029.5595259403667,2.327844568041719
T009,U05,B,B-B03,1757.0,S001,2966.1015218429493,1.0739842176122094
T010,U03,A,A-B05,1974.0,S014,3904.4045344521683,2.188573652507245
T011,U07,C,C-B03,1980.0,S014,3949.2846571841305,3.644406320696355
T012,U02,A,A-B06,1995.0,S013,3607.1111816649363,1.9579471032625122
T013,U08,C,C-B04,2030.0,S010,3632.7057476613772,3.1497765539961717
T014,U04,A,A-B04,2453.0,S003,4715.65402217778,2.98203927676754
T015,U06,B,B-B04,2534.0,S007,4110.284389486636,1.599973308525941
T016,U08,C,C-B02,3633.0,S001,5127.170391878757,2.405033632503433
T017,U01,A,A-B02,3906.0,S015,5874.604336390146,2.472051578101756
T018,U07,C,C-B01,3952.0,S007,5727.575447836247,3.1511922109758563
T019,U05,B,B-B01,4015.0,S015,5723.288584020971,1.9174697354595034
T020,U08,C,C-B04,5797.0,S004,7966.061066593167,5.518523767759751
T021,U07,C,C-B03,5857.0,S004,7894.061066593167,5.013641240219441
T022,U05,B,B-B02,5890.0,S008,7851.842307167517,2.9752454570246574
T023,U06,B,B-B04,5920.0,S008,7821.842307167517,2.7634680954456594
T024,U07,C,C-B02,7895.0,S005,9508.195158195356,3.44022050332549
T025,U08,C,C-B01,7979.0,S002,10086.812018639006,6.105653653740411
T026,U05,B,B-B03,8160.0,S009,9598.442247394774,1.7424471531492611
T027,U06,B,B-B04,9739.0,S010,11174.376902446533,1.515612306671029
T028,U05,B,B-B01,9763.0,S013,11153.470280292886,1.515628496224302
T029,U07,C,C-B03,10234.0,S003,12670.111144337276,6.149598035840621
T030,U05,B,B-B02,11506.0,S012,13308.734555969728,2.2895226521561307
T031,U08,C,C-B04,13414.0,S005,15159.195158195356,3.787086854217603
