架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S002,1756.693933922209,2.432634640007711
T002,U02,A,A-B05,0.0,S011,1162.0269190036777,1.101455956204989
T003,U04,A,A-B04,0.0,S006,1313.4852665970077,1.311582547184737
T004,U03,A,A-B03,0.0,S012,2049.082830175376,2.8302120756865836
T005,U06,B,B-B02,349.0,S012,2211.734555969728,2.4692276591027387
T006,U07,C,C-B01,485.0,S001,1979.1703918787568,2.99577859519945
T007,U08,C,C-B02,600.0,S006,2029.5595259403667,2.327844568041719
T008,U05,B,B-B03,1757.0,S001,2966.1015218429493,1.0739842176122094
T009,U04,A,A-B02,1944.0,S014,3934.4045344521683,2.2909653200941213
T010,U01,A,A-B01,1974.0,S014,3904.4045344521683,2.188573652507245
T011,U02,A,A-B06,1995.0,S013,3607.1111816649363,1.9579471032625122
T012,U08,C,C-B04,2030.0,S010,3632.7057476613772,3.1497765539961717
T013,U07,C,C-B03,2060.0,S010,3596.7057476613772,3.0828145745730464
T014,U03,A,A-B05,2453.0,S003,4715.65402217778,2.98203927676754
T015,U06,B,B-B04,2534.0,S007,4110.284389486636,1.599973308525941
T016,U08,C,C-B02,3633.0,S001,5127.170391878757,2.405033632503433
T017,U02,A,A-B04,3901.0,S015,5809.604336390146,2.429329018893613
T018,U05,B,B-B01,3950.0,S015,5718.288584020971,1.9589492550440286
T019,U07,C,C-B01,3952.0,S007,5727.575447836247,3.1511922109758563
T020,U08,C,C-B04,5797.0,S004,7966.061066593167,5.518523767759751
T021,U07,C,C-B03,5857.0,S004,7894.061066593167,5.013641240219441
T022,U05,B,B-B02,5890.0,S008,7851.842307167517,2.9752454570246574
T023,U06,B,B-B04,5920.0,S008,7821.842307167517,2.7634680954456594
T024,U07,C,C-B02,7895.0,S005,9508.195158195356,3.44022050332549
T025,U08,C,C-B01,7967.0,S002,10074.812018639006,6.105653653740411
T026,U06,B,B-B03,8100.0,S009,9658.442247394776,2.0962351030690245
T027,U05,B,B-B01,9081.0,S011>S013,11000.0647735352,2.197171239066351
T028,U07,C,C-B03,10234.0,S003,12670.111144337276,6.149598035840621
T029,U08,C,C-B04,13414.0,S005,15159.195158195356,3.787086854217603
